TransactionAmount,PreviousTransactionDate,TransactionType,Location,IP Address,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
14.089999999999975,591.0,1.0,36.0,184.0,-1.1102230246251565e-16,70.0,0,81.0,1.0,5112.21,2
376.24,1031.0,1.0,15.0,80.99999999999997,-1.1102230246251565e-16,68.0,0,141.0,1.0,13758.91,1
126.29000000000002,1097.0,1.0,23.0,338.0,2.0,19.0,3,56.0,1.0,1122.3500000000004,0
184.5,712.0,1.0,33.0,297.0,2.0,26.0,3,25.0,1.0,8569.06,0
92.15000000000003,550.0,1.0,28.0,59.0,-1.1102230246251565e-16,18.0,3,172.0,1.0,781.6800000000003,0
815.96,533.0,1.0,26.0,388.0,-1.1102230246251565e-16,55.0,0,120.0,1.0,1021.8799999999997,1
190.02,202.0,1.0,22.0,55.0,2.0,21.0,3,173.0,1.0,1528.81,0
781.76,1867.0,1.0,22.0,275.0,-1.1102230246251565e-16,26.0,3,123.0,1.0,189.6899999999996,0
166.99,244.0,1.0,21.0,249.0,2.0,18.0,3,134.0,1.0,299.9300000000003,0
465.45,2019.0,1.0,10.0,356.0,-1.1102230246251565e-16,36.0,1,129.0,1.0,3465.54,1
492.93,2031.0,1.0,8.0,48.00000000000003,2.0,39.0,1,234.0,1.0,5109.97,1
59.31999999999999,364.0,1.0,20.0,58.0,1.0,71.0,2,38.0,1.0,5750.89,2
85.76999999999998,1281.0,1.0,19.0,472.0,1.0,38.0,0,93.0,1.0,9146.19,2
145.54,385.0,1.0,33.0,62.0,2.0,21.0,3,96.0,1.0,1930.96,0
40.31999999999999,525.0,1.0,25.0,323.0,1.0,37.0,1,95.0,1.0,2686.52,2
127.44999999999999,140.0,1.0,19.0,149.0,2.0,44.0,0,197.0,1.0,1772.06,2
56.170000000000016,1515.0,1.0,11.0,391.0,1.0,27.0,3,283.0,1.0,1351.69,0
59.12000000000003,194.0,1.0,3.0,246.0,-1.1102230246251565e-16,29.0,0,257.0,1.0,9823.64,2
877.81,443.0,1.0,20.0,92.0,2.0,21.999999999999996,3,150.0,1.0,399.0,0
124.75999999999999,1662.0,1.0,39.0,473.0,1.0,49.0,1,45.0,1.0,5764.72,2
78.13,1881.0,1.0,25.0,391.0,1.0,26.0,3,145.0,1.0,900.6099999999997,0
